year,week,date_rep,day,month,month_letter,Vel_mean_mps,Dir_mean_deg,TSM_mean
2025,14,2025-04-08 00:00:00,8,4,A,0.0036566930533870655,151.64720784397446,22.528333333333336
2025,15,2025-04-15 00:00:00,15,4,A,0.001982574170048145,145.6003894606742,20.805
2025,16,2025-04-22 00:00:00,22,4,A,0.0,180.0,20.982
2025,17,2025-04-29 00:00:00,29,4,A,3.506897251137011,151.33225069130208,20.055
2025,18,2025-05-06 00:00:00,6,5,M,4.21162535309791,152.1930192808791,20.278
2025,19,2025-05-13 00:00:00,13,5,M,4.704625377933561,152.63383249744194,20.0
2025,20,2025-05-20 00:00:00,20,5,M,3.6876949414540876,153.7115149540847,20.095
2025,21,2025-05-27 00:00:00,27,5,M,3.4226143097020145,155.23315371863401,19.685
2025,22,2025-06-03 00:00:00,3,6,J,3.3831944805162384,161.44881395724227,20.228333333333335
2025,23,2025-06-10 00:00:00,10,6,J,3.2875202769390155,156.15287816957505,20.56833333333333
2025,24,2025-06-17 00:00:00,17,6,J,3.565353652343845,155.19938990187728,20.511666666666667
2025,25,2025-06-24 00:00:00,24,6,J,3.0689170542028306,154.53986930532787,19.581666666666667
2025,26,2025-07-01 00:00:00,1,7,J,3.8971307782853986,157.9518925689199,20.121666666666666
2025,27,2025-07-08 00:00:00,8,7,J,2.7696808657222745,159.59451437951836,19.583333333333332
2025,28,2025-07-15 00:00:00,15,7,J,3.0045454228413373,157.75203557744214,19.511666666666667
2025,29,2025-07-22 00:00:00,22,7,J,2.928380524032668,157.523822789495,19.69
2025,30,2025-07-29 00:00:00,29,7,J,3.185110843586031,159.78299392841913,20.246666666666666
2025,31,2025-08-05 00:00:00,5,8,A,3.0122239586785176,163.91940788868197,19.388333333333332
2025,32,2025-08-12 00:00:00,12,8,A,3.631629656408927,157.85933743773953,19.32
2025,33,2025-08-19 00:00:00,19,8,A,2.9212273994804097,162.94201064466088,19.115
2025,34,2025-08-26 15:30:00,26,8,A,4.365800444970418,174.25809638750673,19.506
2025,35,2025-09-02 00:00:00,2,9,S,4.402108509287796,173.83658513444047,19.326
2025,36,2025-09-09 00:00:00,9,9,S,4.3949175294314315,172.35911136375347,18.871666666666666
2025,37,2025-09-16 00:00:00,16,9,S,3.7433629565241113,176.18151836366312,19.051666666666666
2025,38,2025-09-23 00:00:00,23,9,S,3.6643119131837034,175.17593171553668,19.466666666666665
2025,39,2025-09-30 00:00:00,30,9,S,3.3620220398611416,179.407104061159,19.551666666666666
2025,40,2025-10-07 00:00:00,7,10,O,3.9123765550819085,175.41550376080815,18.923333333333336
2025,41,2025-10-14 00:00:00,14,10,O,4.186848640277018,174.50766451577698,19.304000000000002
2025,42,2025-10-21 00:00:00,21,10,O,3.2954120877050648,181.28655797605003,18.961666666666666
2025,43,2025-10-28 00:00:00,28,10,O,3.8462424328721947,176.79439548540554,19.478333333333335
2025,44,2025-11-04 00:00:00,4,11,N,3.2485858815722604,175.45170328733366,18.374000000000002
2025,45,2025-11-11 00:00:00,11,11,N,3.6860910434950367,173.1537751713623,18.855
2025,46,2025-11-18 00:00:00,18,11,N,4.123743687939681,173.1316420260159,19.105
2025,47,2025-11-25 00:00:00,25,11,N,2.8860422712793024,177.32817048623875,19.365
2025,48,2025-12-02 00:00:00,2,12,D,3.2855997884311314,175.45977352986299,19.545
2025,49,2025-12-09 00:00:00,9,12,D,2.8374927536252885,175.42139517829946,19.189999999999998
2025,50,2025-12-16 00:00:00,16,12,D,2.6074415500253947,179.13519293165777,19.0225
2025,51,2025-12-23 00:00:00,23,12,D,2.6391976415549023,175.5846240908008,18.426666666666666
2025,52,2025-12-30 00:00:00,30,12,D,2.894004479846557,174.1828721436852,18.99
2026,53,2026-01-06 00:00:00,6,1,E,2.909377762480758,176.85830301616977,20.07
2026,1,2026-01-07 00:00:00,7,1,E,2.6064294832045545,176.9623559149942,19.692
2026,2,2026-01-14 00:00:00,14,1,E,2.131458037693503,183.49431723433267,20.445
2026,3,2026-01-21 00:00:00,21,1,E,2.791770298321847,175.72723833025887,21.25
2026,4,2026-01-28 00:00:00,28,1,E,2.2878405604120355,181.68986728500144,21.69
2026,5,2026-02-04 00:00:00,4,2,F,2.2252091643629894,179.944070318564,20.945
2026,6,2026-02-11 00:00:00,11,2,F,2.954011799898135,184.25365328919221,23.97
2026,7,2026-02-18 00:00:00,18,2,F,2.53316053746311,188.36138435546164,24.66333333333333
2026,8,2026-02-25 00:00:00,25,2,F,1.9065516196740657,202.3525799302481,25.61
2026,9,2026-03-04 00:00:00,4,3,M,3.481390581363819,181.09421833239847,25.766666666666666
2026,10,2026-03-11 00:00:00,11,3,M,2.990399020833873,179.4608935257191,24.455
2026,11,2026-03-18 00:00:00,18,3,M,2.494754098066825,177.88527308616256,23.868333333333336
2026,12,2026-03-25 00:00:00,25,3,M,2.7947344109276018,172.76299489568999,22.593333333333334
